symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
ACTG,2022-06-01,DEEP_DRAWDOWN,0.6388948610503455,True,False,0.5367611583961368,-1.5169337085108312,-2.0
ACTG,2022-09-01,DEEP_DRAWDOWN,0.13139692303171907,False,False,0.10160682414215541,-1.8627917759395578,-2.0
ACTG,2022-07-01,WIN,0.6423394873530185,True,True,2.8864023543591832,-0.2730380605474917,1.0
ACTG,2022-07-14,DEEP_DRAWDOWN,0.1485630958612923,False,False,-0.3143880043013968,-1.1946744163453056,-3.0
ACTG,2022-07-13,DEEP_DRAWDOWN,0.4820020782286838,False,False,-0.06046845217037167,-1.3504620984716627,-3.0
ACTG,2023-01-27,DEEP_DRAWDOWN,0.4496627287810291,False,False,1.1255589191151083,-1.0389774637985632,-1.0
ACTG,2023-02-03,DEEP_DRAWDOWN,0.6325929519028941,True,False,0.7376756688361926,-1.4753513376723852,-1.0
ACTG,2023-02-21,WIN,0.569935244271913,True,True,0.795943636501817,-0.5969577273763583,7.0
ACTG,2023-02-27,WIN,0.730362598975525,True,True,3.4215630947995326,-0.05263943222768396,2.0
ACTG,2023-03-07,DEEP_DRAWDOWN,0.0028521307324102362,False,False,2.3416171977699434,-0.19513476648082428,3.0
ACTG,2023-03-15,DEEP_DRAWDOWN,0.00028085600137449206,False,False,-0.37143039377539844,-4.250814506540682,-1.0
ACTG,2023-06-23,DEEP_DRAWDOWN,0.00021088978447796614,False,False,0.36327766021208546,-1.7760241165924222,-2.0
ACTG,2023-06-28,DEEP_DRAWDOWN,2.3230345840662192e-05,False,False,1.088234327755232,-1.3214273979885018,2.0
ACTG,2023-06-14,DEEP_DRAWDOWN,0.01310450403759881,False,False,1.068953008962443,-1.2083816623053671,1.0
ACTG,2023-07-28,DEEP_DRAWDOWN,0.0697159886205117,False,False,1.2243805198995692,-2.915191714046594,2.0
ACTG,2023-07-13,DEEP_DRAWDOWN,0.0011815561808689024,False,False,0.36360465540123754,-1.0453633842785588,-1.0
ACTG,2024-01-17,WIN,0.7546922294740335,True,True,5.112922538262934,-0.504090954476623,2.0
ACTG,2023-12-07,WIN,0.3749197115623535,False,True,1.6476503105966491,-0.38445173913921993,5.0
ACTG,2024-01-02,DEEP_DRAWDOWN,0.002090225926799195,False,False,0.47887993962323816,-1.1971998490580955,-2.0
ACTG,2024-01-31,DEEP_DRAWDOWN,0.09041055371907618,False,False,1.0717224041832019,-1.0206880039839985,1.0
