timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-06-29 03:45:00 PM ET,277.605,278.09,276.51,277.91,17698,275.67365384615385,0.2687929572637193,1.4886334727764765,2873.822981431406
2026-06-30 09:30:00 AM ET,272.1,274.8,271.45,274.13,13587,275.7825,-1.3601525673779369,1.5888928331589791,2880.0258240177186
2026-06-30 09:45:00 AM ET,273.91,276.165,273.55,275.775,8532,275.91076923076923,0.6000802538941308,1.6848182728223466,2887.376356071855
2026-06-30 10:00:00 AM ET,275.73,276.895,274.94,276.215,8489,276.1553846153846,0.1595503580817725,1.842084097508481,2895.089168739596
2026-06-30 10:15:00 AM ET,276.19,278.78,276.035,278.78,6849,276.38038461538457,0.9286244411056632,1.9972497091634651,2904.389473731962
2026-06-30 10:30:00 AM ET,278.91,279.52,277.335,277.335,13243,276.46326923076924,-0.5183298658440361,2.082972994871023,2912.884722255738
2026-06-30 10:45:00 AM ET,277.47,277.51,275.445,275.685,8348,276.38576923076926,-0.5949483476661688,2.0864693260258225,2920.3890633026926
2026-06-30 11:00:00 AM ET,275.605,276.64,275.435,275.845,16833,276.36192307692306,0.058037252661558,2.1164400472317744,2927.8626223346355
2026-06-30 11:15:00 AM ET,275.9,278.64,275.9,278.52,11446,276.4692307692308,0.96974750312675,2.210707502455343,2937.101474921325
2026-06-30 11:30:00 AM ET,278.705,278.705,277.73,278.07,7194,276.5986538461538,-0.1615682895303671,2.3216769571428477,2946.1937738780885
2026-06-30 11:45:00 AM ET,278.21,278.89,277.79,278.89,5883,276.7980769230769,0.2948897759556868,2.468494909754656,2956.1097518362217
2026-06-30 12:00:00 PM ET,278.75,279.1,278.75,278.99,5516,276.9634615384616,0.035856430850889,2.594835704425733,2966.321323960456
2026-06-30 12:15:00 PM ET,278.875,278.875,278.495,278.53,2521,277.0719230769231,-0.1648804616653065,2.687711787200779,2976.194615658498
2026-06-30 12:30:00 PM ET,278.615,279.5,278.525,279.24,3131,277.20807692307693,0.2549097045201787,2.8006809784806586,2986.502302068287
2026-06-30 12:45:00 PM ET,279.325,279.83,279.325,279.375,4768,277.3444230769231,0.0483455092393558,2.911803175818282,2996.9859262195046
2026-06-30 01:00:00 PM ET,279.51,279.53,279.1,279.205,3202,277.44192307692305,-0.0608501118568249,3.004264316170805,3007.3033671376697
2026-06-30 01:15:00 PM ET,279.38,279.44,279.03,279.24,3005,277.55423076923074,0.0125355921276604,3.090004464720733,3017.422860499324
2026-06-30 01:30:00 PM ET,279.27,280.54,279.06,280.245,4845,277.69961538461536,0.3599054576708171,3.127166652042332,3028.1896836820724
